refs,H2,H1,L2
0,0.04976162059198472,0.0004165737086228911,4.512556085036818e-06
1,0.013584325071099327,9.081701639574874e-05,8.174851506659092e-07
2,0.0008001651519874672,2.624964798712724e-06,1.2042657257719107e-08
3,4.748150896559396e-05,7.576619684094338e-08,1.8122660614482578e-10
4,2.8802704173054934e-06,1.2914198510857982e-08,1.098764918990451e-09
