refs,H2,H1,L2
0,0.08071840996361415,0.0006842418137199483,7.459699544297657e-06
1,0.02180038326596487,0.0001492703607567847,1.354166895295382e-06
2,0.0012810454282127367,4.303419871333338e-06,1.990538170385375e-08
3,7.592093494476324e-05,1.241010130954551e-07,2.9140419669972636e-10
4,4.598314268574872e-06,1.084578528164049e-08,8.020571126509222e-10
