refs,H2,H1,L2
0,0.0033174391400764697,2.6720424515367464e-05,2.8452100031172203e-07
1,0.0009314269054722497,6.1397561791207314e-06,5.5070703946116815e-08
2,5.537015420146189e-05,1.8070868303607018e-07,8.28844981221632e-10
3,3.2989791923711063e-06,5.32382261108975e-09,1.1808141591665593e-10
4,2.4650240708382957e-07,1.8599882943249282e-08,2.5720922536272526e-09
