refs,H2,H1,L2
0,0.21344079419026296,0.001844923222373797,2.0397559421983195e-05
1,0.05686875364836865,0.0003849671909366208,3.478433530385225e-06
2,0.003323974746168324,1.0960380771930249e-05,5.031484833934265e-08
3,0.0001964529919406865,3.141228218454793e-07,7.25709845574105e-10
4,1.1880407163463674e-05,1.2646737138802637e-08,5.43646311297283e-10
