refs,H2,H1,L2
0,0.004757320510611119,3.8510683629540125e-05,4.096332036801195e-07
1,0.0013268314002602031,8.935557307983265e-06,8.062198403513853e-08
2,7.880533034099611e-05,2.6311042977496135e-07,1.216232081599801e-09
3,4.693059420362742e-06,7.698349587662852e-09,1.0596765421848749e-10
4,2.97251777785517e-07,8.870296526418105e-09,1.0327741843543052e-09
